price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,log_price,price_per_sqft,total_rooms,bath_bed_ratio,has_parking
13300000,7420,4,2,3,1,0,0,0,1,2,1,0,0,16.40327459319198,1792.4528301886792,6,0.5,1
12250000,8960,4,4,4,1,0,0,0,1,3,0,0,0,16.32103649495501,1367.1875,8,1.0,1
12250000,9960,3,2,2,1,0,1,0,0,2,1,1,0,16.32103649495501,1229.9196787148594,5,0.6666666666666666,1
12215000,7500,4,2,2,1,0,1,0,1,3,1,0,0,16.31817526267398,1628.6666666666667,6,0.5,1
11410000,7420,4,1,2,1,1,1,0,1,2,0,0,0,16.25000072183826,1537.7358490566037,5,0.25,1
10850000,7500,3,3,1,1,0,1,0,1,2,1,1,0,16.199675637950744,1446.6666666666667,6,1.0,1
10150000,8580,4,3,4,1,0,0,0,1,2,1,1,0,16.13298426345207,1182.983682983683,7,0.75,1
10150000,16200,5,3,2,1,0,0,0,0,0,0,0,1,16.13298426345207,626.5432098765432,8,0.6,0
9870000,8100,4,1,2,1,1,1,0,1,2,1,0,0,16.105010411409665,1218.5185185185185,5,0.25,1
9800000,5750,3,2,4,1,1,0,0,1,1,1,0,1,16.0978929436408,1704.3478260869565,5,0.6666666666666666,1
9800000,13200,3,1,2,1,0,1,0,1,2,1,0,0,16.0978929436408,742.4242424242424,4,0.3333333333333333,1
9681000,6000,4,3,2,1,1,1,1,0,2,0,1,0,16.08567575970221,1613.5,7,0.75,1
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,0,16.04659964925325,1421.3740458015268,6,0.5,1
9240000,3500,4,2,2,1,0,0,1,0,2,0,0,0,16.039052443617866,2640.0,6,0.5,1
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,0,16.039052443617866,1184.6153846153845,5,0.6666666666666666,0
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,0,16.02378497148708,1516.6666666666667,5,0.25,1
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,1,16.02378497148708,1378.7878787878788,6,0.5,1
8960000,8500,3,2,4,1,0,0,0,1,2,0,0,0,16.008280784951115,1054.1176470588234,5,0.6666666666666666,1
8890000,4600,3,2,2,1,1,0,0,1,2,0,0,0,16.00043760749009,1932.608695652174,5,0.6666666666666666,1
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,0,15.99649282919907,1379.2834890965732,5,0.6666666666666666,1
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,0,15.984564258333798,2025.462962962963,4,0.3333333333333333,1
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1,15.976532086636533,1213.1376659678547,5,0.6666666666666666,1
8645000,8050,3,1,1,1,1,1,0,1,1,0,0,0,15.972491677099528,1073.9130434782608,4,0.3333333333333333,1
8645000,4560,3,2,2,1,1,1,0,1,1,0,0,0,15.972491677099528,1895.8333333333333,5,0.6666666666666666,1
