area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price,total_rooms,bath_bed_ratio,has_parking
7420,4,2,3,1,0,0,0,1,2,1,0,0,16.40327459319198,6,0.5,1
8960,4,4,4,1,0,0,0,1,3,0,0,0,16.32103649495501,8,1.0,1
9960,3,2,2,1,0,1,0,0,2,1,1,0,16.32103649495501,5,0.6666666666666666,1
7500,4,2,2,1,0,1,0,1,3,1,0,0,16.31817526267398,6,0.5,1
7420,4,1,2,1,1,1,0,1,2,0,0,0,16.25000072183826,5,0.25,1
7500,3,3,1,1,0,1,0,1,2,1,1,0,16.199675637950744,6,1.0,1
8580,4,3,4,1,0,0,0,1,2,1,1,0,16.13298426345207,7,0.75,1
16200,5,3,2,1,0,0,0,0,0,0,0,1,16.13298426345207,8,0.6,0
8100,4,1,2,1,1,1,0,1,2,1,0,0,16.105010411409665,5,0.25,1
5750,3,2,4,1,1,0,0,1,1,1,0,1,16.0978929436408,5,0.6666666666666666,1
13200,3,1,2,1,0,1,0,1,2,1,0,0,16.0978929436408,4,0.3333333333333333,1
6000,4,3,2,1,1,1,1,0,2,0,1,0,16.08567575970221,7,0.75,1
6550,4,2,2,1,0,0,0,1,1,1,1,0,16.04659964925325,6,0.5,1
3500,4,2,2,1,0,0,1,0,2,0,0,0,16.039052443617866,6,0.5,1
7800,3,2,2,1,0,0,0,0,0,1,1,0,16.039052443617866,5,0.6666666666666666,0
6000,4,1,2,1,0,1,0,0,2,0,1,0,16.02378497148708,5,0.25,1
6600,4,2,2,1,1,1,0,1,1,1,0,1,16.02378497148708,6,0.5,1
8500,3,2,4,1,0,0,0,1,2,0,0,0,16.008280784951115,5,0.6666666666666666,1
4600,3,2,2,1,1,0,0,1,2,0,0,0,16.00043760749009,5,0.6666666666666666,1
6420,3,2,2,1,0,0,0,1,1,1,1,0,15.99649282919907,5,0.6666666666666666,1
4320,3,1,2,1,0,1,1,0,2,0,1,0,15.984564258333798,4,0.3333333333333333,1
7155,3,2,1,1,1,1,0,1,2,0,0,1,15.976532086636533,5,0.6666666666666666,1
8050,3,1,1,1,1,1,0,1,1,0,0,0,15.972491677099528,4,0.3333333333333333,1
4560,3,2,2,1,1,1,0,1,1,0,0,0,15.972491677099528,5,0.6666666666666666,1
8800,3,2,2,1,0,0,0,1,2,0,0,0,15.964361551016278,5,0.6666666666666666,1
6540,4,2,2,1,1,1,0,1,2,1,0,0,15.960271565764753,6,0.5,1
6000,3,2,4,1,1,1,0,1,0,1,1,0,15.951214278652243,5,0.6666666666666666,0
8875,3,1,1,1,0,0,0,0,1,0,1,0,15.943742263813542,4,0.3333333333333333,1
7950,5,2,2,1,0,1,1,0,2,0,0,1,15.943742263813542,7,0.4,1
5500,4,2,2,1,0,1,0,1,1,1,1,0,15.943742263813542,6,0.5,1
7475,3,2,4,1,0,0,0,1,2,0,0,1,15.943742263813542,5,0.6666666666666666,1
7000,3,1,4,1,0,0,0,1,2,0,1,0,15.943742263813542,4,0.3333333333333333,1
4880,4,2,2,1,0,0,0,1,1,1,0,0,15.931163481606681,6,0.5,1
5960,3,3,2,1,1,1,0,0,1,0,0,1,15.918424455829252,6,1.0,1
6840,5,1,2,1,1,1,0,1,1,0,0,0,15.90984071213786,6,0.2,1
7000,3,2,4,1,0,0,0,1,2,0,0,0,15.90501876036436,5,0.6666666666666666,1
7482,3,2,3,1,0,0,1,0,1,1,0,0,15.900312705886206,5,0.6666666666666666,1
9000,4,2,4,1,0,0,0,1,2,0,0,0,15.892448969425992,6,0.5,1
6000,3,1,4,1,1,0,0,1,2,0,0,1,15.890253578862556,4,0.3333333333333333,1
6000,4,2,4,1,0,0,0,1,1,0,1,0,15.883638339743836,6,0.5,1
6550,3,1,2,1,0,1,0,1,0,1,0,0,15.879203742675971,4,0.3333333333333333,0
6360,3,2,4,1,0,0,0,1,0,1,0,0,15.87474939232659,5,0.6666666666666666,0
6480,3,2,4,1,0,0,0,1,2,0,0,1,15.856730886823913,5,0.6666666666666666,1
6000,4,2,4,1,0,0,0,0,2,0,1,0,15.856730886823913,6,0.5,1
6000,4,2,4,1,0,0,0,1,1,0,0,0,15.838381748155715,6,0.5,1
6000,3,2,3,1,0,0,0,1,0,0,1,0,15.838381748155715,5,0.6666666666666666,0
6000,3,2,4,1,0,0,0,1,1,0,0,0,15.833741368599213,5,0.6666666666666666,1
6600,3,1,4,1,0,0,0,1,3,1,0,0,15.829079355493402,4,0.3333333333333333,1
4300,3,2,2,1,0,1,0,0,1,0,0,1,15.824395506180975,5,0.6666666666666666,1
7440,3,2,1,1,1,1,0,1,0,1,1,0,15.819689615143563,5,0.6666666666666666,0
7440,3,2,4,1,0,0,0,0,1,1,0,1,15.819689615143563,5,0.6666666666666666,1
6325,3,1,4,1,0,0,0,1,1,0,0,1,15.819689615143563,4,0.3333333333333333,1
6000,4,2,4,1,1,0,0,1,1,0,0,0,15.81021087118902,6,0.5,1
5150,3,2,4,1,0,0,0,1,2,0,1,0,15.81021087118902,5,0.6666666666666666,1
6000,3,2,2,1,1,0,0,1,1,0,1,0,15.81021087118902,5,0.6666666666666666,1
6000,3,1,2,1,0,0,0,1,1,0,0,1,15.81021087118902,4,0.3333333333333333,1
11440,4,1,2,1,0,1,0,0,1,1,1,0,15.809258036433748,5,0.25,1
9000,4,2,4,1,1,0,0,1,1,1,0,0,15.79582213373692,6,0.5,1
7680,4,2,4,1,1,0,0,1,1,0,1,0,15.790979509261131,6,0.5,1
6000,3,2,4,1,1,0,0,1,1,0,0,0,15.790979509261131,5,0.6666666666666666,1
6000,3,2,2,1,1,0,0,0,1,0,1,0,15.781223334315767,5,0.6666666666666666,1
8880,2,1,1,1,0,0,0,1,1,0,1,0,15.771371037872756,3,0.5,1
6240,4,2,2,1,0,0,0,1,1,0,0,0,15.771371037872756,6,0.5,1
6360,4,2,3,1,0,0,0,1,2,1,0,0,15.766408248530626,6,0.5,1
11175,3,1,1,1,0,1,0,1,1,1,0,0,15.761420707019587,4,0.3333333333333333,1
